col,row,plot_number,tree_no,plot_id,Phy_zone,X_tree_and_climber_position,forest_stand,bearing,distance,distance_unit_name,species,species_name,Species_Name,dbh,quality_class,crown_class,lopping,sample_tree_type,height,crown_height,base_tree_height,base_crown_height,base_slope,age,radial_growth,height_m,remarks,diameter_p
38,61,5,1,38-61-5,2,1,1,1,13.6,m,6615,Shorea robusta,Shorea robusta,52.8,1,1,0,1,32.1,12.9,3.2,2.1,0,0,0,32.3,--,52.8
38,61,5,2,38-61-5,2,2,1,2,8.5,m,6369,Lagerstroemia parviflora,Lagerstroemia parviflora,21.1,2,2,0,0,NA,NA,NA,NA,NA,0,0,NA,--,21.1
38,61,5,3,38-61-5,2,3,1,2,7,m,6660,Terminalia alata,Terminalia tomentosa,23.3,1,1,0,2,20.6,9.1,0,0,NA,0,0,20.6,--,23.3
38,61,5,4,38-61-5,2,4,1,28,12.1,m,6369,Lagerstroemia parviflora,Lagerstroemia parviflora,28,1,1,0,2,29.6,12.7,0,0,NA,0,0,29.6,#NAME?,28
38,61,5,5,38-61-5,2,5,1,44,19.4,m,6615,Shorea robusta,Shorea robusta,48.9,1,6,0,3,12.9,0,0,0,NA,0,0,12.9,TOP CUT,48.9
38,61,5,6,38-61-5,2,6,1,46,17.6,m,6089,Adina cordifolia,Adina cordifolia,31.8,1,1,0,2,23.2,11.8,0,0,NA,0,0,23.2,--,31.8
38,61,5,7,38-61-5,2,7,1,187,13.9,m,6615,Shorea robusta,Shorea robusta,40,1,1,0,2,16.1,8.9,0,0,NA,0,0,16.1,--,40
38,61,5,8,38-61-5,2,8,1,212,10.3,m,6615,Shorea robusta,Shorea robusta,23.4,2,1,0,0,NA,NA,NA,NA,NA,0,0,NA,ATTACKED BY CLIMBER,23.4
38,61,5,10,38-61-5,2,10,1,234,5.2,m,6615,Shorea robusta,Shorea robusta,14.4,3,6,0,3,4.9,0,0,0,NA,0,0,4.9,--,14.4
38,61,5,11,38-61-5,2,11,1,244,2,m,6411,Madhuca latifolia,OTHERS-1,16.8,3,2,0,2,12.6,8.1,0,0,NA,0,0,12.6,#NAME?,16.8
38,61,5,13,38-61-5,2,13,1,285,19.3,m,6610,Schleichera oleosa,Schleichera oleosa,51.2,3,2,0,2,19.2,8.3,0,0,NA,0,0,19.2,#NAME?,51.2
38,61,5,14,38-61-5,2,14,1,287,13.9,m,6610,Schleichera oleosa,Schleichera oleosa,45.1,3,2,0,0,NA,NA,NA,NA,NA,0,0,NA,--,45.1
38,61,5,15,38-61-5,2,15,1,290,2.6,m,6446,Miliusa velutina,Miliusa velutina,17.7,3,2,0,1,11.5,4.6,2.5,0,0,0,0,11.8,--,17.7
38,61,5,16,38-61-5,2,16,1,296,10.3,m,6615,Shorea robusta,Shorea robusta,39.4,1,1,0,2,21.3,8.4,0,0,NA,0,0,21.3,#NAME?,39.4
38,61,5,17,38-61-5,2,17,1,297,1.6,m,6170,Casearia graveolens,OTHERS-1,14.8,3,6,0,3,7.5,0,0,0,NA,0,0,7.5,#NAME?,14.8
38,61,5,18,38-61-5,2,18,1,320,13.7,m,6615,Shorea robusta,Shorea robusta,45.6,1,1,0,0,NA,NA,NA,NA,NA,0,0,NA,--,45.6
38,61,5,19,38-61-5,2,19,1,352,19.1,m,6615,Shorea robusta,Shorea robusta,38.2,1,1,0,0,NA,NA,NA,NA,NA,0,0,NA,--,38.2
39,58,1,1,39-58-1,1,1,1,15,4.3,m,6113,Anogeissus latifolius,Anogeissus latifolia,38.2,1,1,0,1,20.8,6.4,0,0,NA,0,0,20.8,--,38.2
39,58,1,2,39-58-1,1,2,1,21,3.2,m,6063,Acacia catechu,Acacia catechu,20,2,3,0,2,12.7,9.2,4.9,0.7,0,0,0,13.6,--,20
39,58,1,4,39-58-1,1,4,1,80,4.2,m,6469,Nyctanthes arbor-tristis,OTHERS-1,21.4,3,4,0,2,7.2,3.2,0,0,NA,0,0,7.2,--,21.4
39,58,1,5,39-58-1,1,5,1,105,8.8,m,6113,Anogeissus latifolius,Anogeissus latifolia,34.1,1,1,0,0,NA,NA,NA,NA,NA,0,0,NA,--,34.1
39,58,1,6,39-58-1,1,6,1,106,13.1,m,6660,Terminalia alata,Terminalia tomentosa,30.2,1,1,0,5,19.1,4.5,0,0,NA,0,0,19.1,--,30.2
39,58,1,7,39-58-1,1,7,1,129,16.8,m,6615,Shorea robusta,Shorea robusta,45.5,3,1,0,2,14.2,4.5,6.5,0,0,0,0,15.6,measured twice,45.5
39,58,1,8,39-58-1,1,8,1,139,18.3,m,6651,Syzygium cumini,Eugenia jambolana,30.2,3,1,0,2,12.5,6.2,7.5,3.5,0,0,0,14.6,--,30.2
39,58,1,9,39-58-1,1,9,1,150,3.1,m,6469,Nyctanthes arbor-tristis,OTHERS-1,12.8,3,2,0,0,NA,NA,NA,NA,NA,0,0,NA,--,12.8
39,58,1,11,39-58-1,1,11,1,176,15.4,m,6113,Anogeissus latifolius,Anogeissus latifolia,33.5,1,1,0,1,19.5,10.5,0,0,NA,0,0,19.5,--,33.5
39,58,1,12,39-58-1,1,12,1,183,6.5,m,6469,Nyctanthes arbor-tristis,OTHERS-1,13,3,4,0,4,3.9,2.6,0,0,NA,0,0,3.9,--,13
39,58,1,13,39-58-1,1,13,1,192,12.5,m,6063,Acacia catechu,Acacia catechu,22.5,1,1,0,4,14.2,9.5,2.1,2.1,0,0,0,14.4,--,22.5
39,58,1,14,39-58-1,1,14,1,201,7.8,m,6063,Acacia catechu,Acacia catechu,23,3,1,0,0,NA,NA,NA,NA,NA,0,0,NA,--,23
39,58,1,15,39-58-1,1,15,1,215,4.1,m,6469,Nyctanthes arbor-tristis,OTHERS-1,11,3,2,0,4,6.5,2,1.9,0.1,0,0,0,6.8,--,11
39,58,1,16,39-58-1,1,16,1,233,14.7,m,6113,Anogeissus latifolius,Anogeissus latifolia,29.9,1,1,0,0,NA,NA,NA,NA,NA,0,0,NA,--,29.9
39,58,1,17,39-58-1,1,17,1,238,7.4,m,6469,Nyctanthes arbor-tristis,OTHERS-1,11.3,3,3,0,4,6.3,5.8,0.7,0,0,0,0,6.3,--,11.3
39,58,1,18,39-58-1,1,18,1,244,3.9,m,6469,Nyctanthes arbor-tristis,OTHERS-1,6.6,3,4,0,4,4.2,3.2,1.9,1.5,0,0,0,4.6,--,6.6
39,58,1,19,39-58-1,1,19,1,285,4.9,m,6469,Nyctanthes arbor-tristis,OTHERS-1,16.1,3,1,0,0,NA,NA,NA,NA,NA,0,0,NA,--,16.1
39,58,1,20,39-58-1,1,20,1,290,1.3,m,6469,Nyctanthes arbor-tristis,OTHERS-1,12.5,3,5,0,1,6.7,3.3,2.5,1.2,0,0,0,7.2,--,12.5
39,58,1,21,39-58-1,1,21,1,291,11.5,m,6063,Acacia catechu,Acacia catechu,25.5,2,1,0,4,12.4,5.4,0,0,NA,0,0,12.4,--,25.5
39,58,1,22,39-58-1,1,22,1,295,5.5,m,6469,Nyctanthes arbor-tristis,OTHERS-1,12.3,3,2,0,4,7.5,3.5,0,0,NA,0,0,7.5,--,12.3
39,58,1,24,39-58-1,1,24,1,333,15.4,m,6113,Anogeissus latifolius,Anogeissus latifolia,38.1,3,6,80,3,9.5,4.8,0,0,NA,0,0,9.5,--,38.1
39,58,1,25,39-58-1,1,25,1,349,4.5,m,6469,Nyctanthes arbor-tristis,OTHERS-1,15.9,3,5,0,0,NA,NA,NA,NA,NA,0,0,NA,--,15.9
39,58,1,26,39-58-1,1,26,1,350,6.9,m,6615,Shorea robusta,Shorea robusta,14,2,1,0,4,11.9,4.5,0,0,NA,0,0,11.9,--,14
39,58,3,1,39-58-3,1,1,1,74,3.5,m,6469,Nyctanthes arbor-tristis,OTHERS-1,6.5,3,3,0,4,2,1.4,0,0,NA,0,0,2,--,6.5
39,58,3,3,39-58-3,1,3,1,120,12,m,6269,Ehretia laevis,Ehretia laevis,21,3,2,0,4,8.5,4,0,0,NA,0,0,8.5,--,21
39,58,3,4,39-58-3,1,4,1,188,3.5,m,6269,Ehretia laevis,Ehretia laevis,7,3,1,0,4,5.5,1.1,0,0,NA,0,0,5.5,--,7
39,58,3,5,39-58-3,1,5,1,188,3.5,m,6269,Ehretia laevis,Ehretia laevis,5.8,3,1,0,4,5.2,1.1,0,0,NA,0,0,5.2,--,5.8
39,58,3,6,39-58-3,1,6,1,188,3.5,m,6269,Ehretia laevis,Ehretia laevis,5.5,3,1,0,4,5.2,1.5,0,0,NA,0,0,5.2,--,5.5
39,58,3,7,39-58-3,1,7,1,209,3.9,m,6469,Nyctanthes arbor-tristis,OTHERS-1,10.5,3,3,0,4,3.2,2,0,0,NA,0,0,3.2,dbh at 1.2m,10.5
39,58,4,1,39-58-4,1,1,1,29,5,m,6063,Acacia catechu,Acacia catechu,28.5,3,1,0,1,13.8,1.7,0,0,NA,0,0,13.8,--,28.5
39,58,4,2,39-58-4,1,2,1,31,5.7,m,6259,Diospyrus tomentosa,OTHERS-1,13,3,2,0,2,2.3,1.8,1.5,0,0,0,0,2.7,--,13
39,58,4,3,39-58-4,1,3,1,48,1.4,m,6259,Diospyrus tomentosa,OTHERS-1,9.1,3,2,0,0,NA,NA,NA,NA,NA,0,0,NA,--,9.1
39,58,4,4,39-58-4,1,4,1,48,1.4,m,6259,Diospyrus tomentosa,OTHERS-1,14.4,3,2,0,0,NA,NA,NA,NA,NA,0,0,NA,--,14.4
39,58,4,5,39-58-4,1,5,1,48,1.4,m,6259,Diospyrus tomentosa,OTHERS-1,6.8,3,2,0,5,2.5,1.6,0,0,NA,0,0,2.5,--,6.8
39,58,4,6,39-58-4,1,6,1,135,6,m,6113,Anogeissus latifolius,Anogeissus latifolia,21,3,6,0,3,8.2,2.3,0,0,NA,0,0,8.2,top cut,21
39,58,4,9,39-58-4,1,9,1,227,7.9,m,6113,Anogeissus latifolius,Anogeissus latifolia,13.5,3,6,0,4,2.3,1.5,0,0,NA,0,0,2.3,new dbh at 1.0m,13.5
39,58,4,10,39-58-4,1,10,1,284,6.3,m,6063,Acacia catechu,Acacia catechu,19.8,3,1,0,1,10.2,2.6,0,0,NA,0,0,10.2,--,19.8
39,58,4,11,39-58-4,1,11,1,299,14.5,m,6063,Acacia catechu,Acacia catechu,24.6,3,1,0,0,NA,NA,NA,NA,NA,0,0,NA,--,24.6
39,58,6,1,39-58-6,1,1,1,10,6.7,m,6113,Anogeissus latifolius,Anogeissus latifolia,14,2,2,80,4,10.5,9.5,0,0,NA,0,0,10.5,--,14
39,58,6,2,39-58-6,1,2,1,42,7.1,m,6113,Anogeissus latifolius,Anogeissus latifolia,16.8,2,3,0,4,11,6.3,0,0,NA,0,0,11,--,16.8
39,58,6,3,39-58-6,1,3,1,44,4.8,m,6113,Anogeissus latifolius,Anogeissus latifolia,12,2,3,0,4,12.5,8.2,3,0.8,0,0,0,12.9,--,12
39,58,6,5,39-58-6,1,5,1,47,6.3,m,6113,Anogeissus latifolius,Anogeissus latifolia,12.1,2,3,0,4,12,6,0,0,NA,0,0,12,--,12.1
39,58,6,6,39-58-6,1,6,1,62,9.9,m,6660,Terminalia alata,Terminalia tomentosa,22,2,2,0,4,16.9,10.2,0,0,NA,0,0,16.9,--,22
39,58,6,7,39-58-6,1,7,1,69,4.5,m,6113,Anogeissus latifolius,Anogeissus latifolia,10.3,3,3,0,4,12.2,9.5,3.5,2.5,0,0,0,12.7,--,10.3
