Plot_id,No_trees_ha,BA_sqm_ha,Volume_final_cum_ha,stem_ton_ha,Total_biom_ad_ton_ha,Total_biom_od_ton_ha,carbon_ton_ha,Mean_Diameter2022,Mean_HT_2022
43-54-3,2283.68,20.624905375101463,130.23993213077964,95.81467192243295,139.92527660506886,127.20479691369896,59.78625454943851,17.9,11.185
43-54-4,657.03,23.77943890071187,169.0679583260956,131.1547127117056,190.94109031942824,173.58280938129838,81.58392040921024,28.224137931034484,14.875862068965516
43-54-6,1100.8700000000001,17.755516189769555,120.4890930676603,89.35222051146519,130.37754185546504,118.52503805042275,55.706767883698696,22.831818181818182,13.329545454545455
44-48-1,39.8,20.169264570981866,181.8675611772781,157.63005012672463,224.59073605277598,204.1733964116145,95.96149631345881,74.97999999999999,17.686
44-48-3,165.6,22.635347346201602,165.7240683837394,133.9910757888468,189.42249264483385,172.20226604075805,80.93506503915627,45.07142857142857,15.276428571428571
44-48-4,111.44,44.32419466812798,437.2932945226756,384.8180991799545,547.5177024521286,497.7433658655714,233.93938195681852,70.58571428571427,22.805714285714284
44-48-6,87.56,26.825054547849653,262.4663231735737,214.17173390571156,304.74719302013193,277.04290274557445,130.21016429041998,59.58181818181818,21.673636363636362
44-55-1,813.0600000000001,13.451835187511827,98.14739302151321,80.46314681684122,116.53160362993044,105.93782148175494,49.79077609642482,21.76111111111111,13.416666666666666
44-55-3,716.04,22.767966075095323,178.5418573451076,154.12499612653897,213.97568214849855,194.52334740772594,91.42597328163117,26.669565217391302,15.45695652173913
44-55-4,947.9,31.250936050903455,281.0435606980673,246.54647257438302,353.47763563827544,321.34330512570494,151.0313534090813,35.17826086956522,17.146521739130435
44-55-6,1263.14,21.891444689457607,160.46556356306732,143.5282367557774,206.33386355712932,187.57623959739027,88.16083261077343,22.00357142857143,14.52
45-50-1,946.36,15.659362908137748,117.1985118979081,98.29566385342177,131.56647239891186,119.60588399901077,56.21476547953506,19.673684210526318,12.88578947368421
45-50-2,537.85,14.915244439686417,128.0296645194481,100.58494892895578,140.93975542152458,128.12705038320416,60.219713680105954,28.959999999999997,15.329333333333333
45-50-3,1864.81,25.94632974337249,200.30182800914992,175.09490607895722,233.915625525756,212.65056865977817,99.94576727009574,20.204,13.1876
45-50-4,825.44,15.731703427548146,106.01800712944402,87.62468514750255,123.72963755483754,112.48148868621593,52.866299682521486,22.116666666666667,12.715555555555556
45-50-5,418.72,16.892931600293547,136.57040152484075,106.59014978307162,154.5315186208028,140.48319874618437,66.02710341070664,28.572222222222226,16.150555555555556
45-50-6,1418.92,17.560521853451135,125.16827360609547,101.30583234608632,144.24081094308855,131.1280099482623,61.63016467568328,24.08823529411765,13.22764705882353
45-52-4,214.92,51.11408509821057,475.19397516270874,415.3585573387874,590.3019784229907,536.6381622027187,252.2199362352778,53.62592592592593,20.697037037037035
45-52-6,682.63,21.38957143815758,179.9053184210561,139.94515812960202,200.41972028989926,182.1997457180902,85.63388048750241,34.7375,16.515
46-52-1,616.82,23.346811173841687,168.55409519397668,117.6342503364601,171.5648091750401,155.96800834094552,73.30496392024439,25.446875000000002,14.4496875
46-52-3,325.43,13.729352942486596,97.82725552002871,81.42704949050245,118.44649079583377,107.6786279962125,50.60895515821987,28.425,15.193125
46-52-4,376.94,24.038756184223256,225.03030618335086,190.545856933224,275.02007596716925,250.01825087924476,117.50857791324502,33.69444444444444,16.708333333333332
46-52-6,1726.64,21.97893847682907,162.7281961380507,123.04530938862416,177.6567786816383,161.50616243785296,75.90789634579089,23.651851851851852,13.997037037037037
